0.1,0,0.01
0.1,0,0.012139
0.1,0,0.01423
0.1,0,0.016357
0.1,0,0.018436
0.1,0,0.02055
0.1,0,0.022618
0.1,0,0.024721
0.1,0,0.026777
0.1,0,0.028869
0.1,0,0.030914
0.1,0,0.032995
0.1,0,0.035029
0.1,7.4378e-05,0.037099
0.1,0.00018352,0.039122
0.099999,0.00033104,0.041181
0.099999,0.00050856,0.043195
0.099997,0.00072463,0.045243
0.099995,0.0009703,0.047247
0.099992,0.001255,0.049285
0.099988,0.0015673,0.051278
0.099982,0.0019195,0.053307
0.099974,0.0022977,0.055291
0.099963,0.0027169,0.057309
0.09995,0.0031608,0.059284
0.099933,0.0036472,0.061293
0.099914,0.0041555,0.063258
0.099889,0.0047082,0.065258
0.09986,0.0052841,0.067215
0.099825,0.0059067,0.069206
0.099785,0.0065522,0.071154
0.099737,0.0072472,0.073136
0.099682,0.0079652,0.075076
0.099618,0.008736,0.07705
0.099543,0.0095461,0.07902
0.09946,0.010378,0.080947
0.099363,0.011268,0.082909
0.099255,0.012183,0.084829
0.09913,0.013162,0.086783
0.098991,0.014167,0.088695
0.098991,0.014167,0.090641
0.098991,0.014167,0.092546
0.098991,0.014167,0.094485
0.098991,0.014167,0.096383
0.098991,0.014167,0.098315
0.098991,0.014167,0.10021
0.098991,0.014167,0.10213
0.098991,0.014167,0.10402
0.098991,0.014167,0.10593
0.098991,0.014167,0.10781
0.098991,0.014167,0.10972
0.098991,0.014167,0.1116
0.098991,0.014167,0.1135
0.098991,0.014167,0.11537
0.098991,0.014167,0.11727
0.098882,0.01491,0.11913
0.098792,0.015499,0.12103
0.098712,0.015996,0.12288
0.098642,0.016426,0.12477
0.098583,0.016777,0.12662
0.098532,0.017069,0.12851
0.098494,0.017291,0.13035
0.098465,0.017454,0.13223
0.098446,0.017558,0.13407
0.098438,0.017605,0.13595
0.09844,0.017596,0.13778
0.098451,0.017534,0.13965
0.098472,0.017417,0.14152
0.098501,0.01725,0.14335
0.09854,0.017027,0.14522
0.098586,0.01676,0.14704
0.09864,0.016434,0.14891
0.098701,0.016064,0.15073
0.09877,0.015635,0.15259
0.098844,0.015163,0.15441
0.098925,0.014626,0.15626
0.099008,0.014048,0.15808
0.099098,0.013401,0.15993
0.099189,0.012709,0.16174
0.099285,0.01194,0.16359
0.099379,0.011127,0.16541
0.099475,0.01023,0.16725
0.099568,0.0092813,0.16906
0.09966,0.0082421,0.17091
0.099744,0.0071445,0.17271
0.099744,0.0071445,0.17456
0.099744,0.0071445,0.17636
0.099744,0.0071445,0.1782
0.099744,0.0071445,0.18001
0.099744,0.0071445,0.18185
0.099744,0.0071445,0.18365
0.099744,0.0071445,0.18549
0.099744,0.0071445,0.18729
0.099744,0.0071445,0.18913
0.099744,0.0071445,0.19093
0.099744,0.0071445,0.19276
0.099744,0.0071445,0.19456
0.099744,0.0071445,0.1964
0.099744,0.0071445,0.1982
0.099744,0.0071445,0.20004
